"key.x","val","key.y"
"Q1","What is your gender? - Selected Choice","Q2"
"Q10","Does your current employer incorporate machine learning methods into their business?","Q8"
"Q11","Select any activities that make up an important part of your role at work: (Select all that apply) - Selected Choice","Q9"
"Q16","What programming languages do you use on a regular basis? (Select all that apply) - Selected Choice","Q18"
"Q18","What programming language would you recommend an aspiring data scientist to learn first? - Selected Choice","Q19"
"Q2","What is your age (# years)?","Q1"
"Q3","In which country do you currently reside?","Q3"
"Q38","Who/what are your favorite media sources that report on data science topics? (Select all that apply) - Selected Choice","Q12"
"Q4","What is the highest level of formal education that you have attained or plan to attain within the next 2 years?","Q4"
"Q6","Select the title most similar to your current role (or most recent title if retired): - Selected Choice","Q5"
"Q9","What is your current yearly compensation (approximate $USD)?","Q10"
"Time from Start to Finish (seconds)","Duration (in seconds)","Time from Start to Finish (seconds)"
